Afganistan,Kabul,Aasia
Alankomaat,Amsterdam,Eurooppa
Albania,Tirana,Eurooppa
Algeria,Alger,Afrikka
Andorra,Andorra la Vella,Eurooppa
Angola,Luanda,Afrikka
Antigua ja Barbuda,St. John's,Amerikka
Argentiina,Buenos Aires,Amerikka
Armenia,Jerevan,Aasia
Oseania,Canberra,Oseania
Azerbaidžan,Baku,Aasia
Bahama,Nassau,Amerikka
Bahrain,Manama,Aasia
Bangladesh,Dhaka,Aasia
Barbados,Bridgetown,Amerikka
Belgia,Bryssel,Eurooppa
Belize,Belmopan,Amerikka
Benin,Porto-Novo,Afrikka
Bhutan,Thimphu,Aasia
Bolivia,Sucre,Amerikka
Bosnia ja Hertsegovina,Sarajevo,Eurooppa
Botswana,Gaborone,Afrikka
Brasilia,Brasília,Amerikka
Brunei,Bandar Seri Begawan,Afrikka
Bulgaria,Sofia,Eurooppa
Burkina Faso,Ouagadougou,Afrikka
Burundi,Gitega,Afrikka
Chile,Santiago,Amerikka
Costa Rica,San José,Amerikka
Djibouti,Djibouti,Afrikka
Dominica,Roseau,Amerikka
Dominikaaninen tasavalta,Santo Domingo,Amerikka
Ecuador,Quito,Amerikka
Egypti,Kairo,Afrikka
El Salvador,San Salvador,Amerikka
Eritrea,Asmara,Afrikka
Espanja,Madrid,Eurooppa
Etelä-Afrikka,Pretoria/Kapkaupunki,Afrikka
Etelä-Sudan,Juba,Afrikka
Etiopia,Addis Abeba,Afrikka
Fidži,Suva,Oseania
Filippiinit,Manila,Aasia
Gabon,Libreville,Afrikka
Gambia,Banjul,Afrikka
Georgia,Tbilisi,Aasia
Ghana,Accra,Afrikka
Grenada,St. George's,Amerikka
Guatemala,Guatemala,Amerikka
Guinea,Conakry,Afrikka
Guinea-Bissau,Bissau,Afrikka
Guyana,Georgetown,Amerikka
Haiti,Port-au-Prince,Amerikka
Honduras,Tegucigalpa,Amerikka
Indonesia,Jakarta,Aasia
Intia,New Delhi,Aasia
Irak,Bagdad,Aasia
Iran,Teheran,Aasia
Irlanti,Dublin,Eurooppa
Islanti,Reykjavík,Eurooppa
Israel,Jerusalem,Aasia
Italia,Rooma,Eurooppa
Itä-Timor,Dili,Aasia
Itävalta,Wien,Eurooppa
Jamaika,Kingston,Amerikka
Japani,Tokio,Aasia
Jemen,Sanaa,Aasia
Jordania,Amman,Aasia
Kambodža,Phnom Penh,Aasia
Kamerun,Yaoundé,Afrikka
Kanada,Ottawa,Amerikka
Kap Verde,Praia,Afrikka
Kazakstan,Nur-Sultan,Aasia
Kenia,Nairobi,Afrikka
Keski-Afrikan tasavalta,Bangui,Afrikka
Kiina,Peking,Aasia
Kirgisia,Biškek,Aasia
Kiribati,South Tarawa,Oseania
Kolumbia,Bogotá,Amerikka
Komorit,Moroni,Afrikka
Kongon demokraattinen tasavalta,Kinshasa,Afrikka
Kongon tasavalta,Brazzaville,Afrikka
Pohjois-Korea,Pjongjang,Aasia
Etelä-Korea,Soul,Aasia
Kosovo,Pristina,Eurooppa
Kreikka,Ateena,Eurooppa
Kroatia,Zagreb,Eurooppa
Kuuba,Havanna,Amerikka
Kuwait,Kuwait,Aasia
Kypros,Nikosia,Eurooppa
Laos,Vientiane,Aasia
Latvia,Riika,Eurooppa
Lesotho,Maseru,Afrikka
Libanon,Beirut,Aasia
Liberia,Monrovia,Afrikka
Libya,Tripoli,Afrikka
Liechtenstein,Vaduz,Eurooppa
Liettua,Vilna,Eurooppa
Luxemburg,Luxembourg,Eurooppa
Madagaskar,Antananarivo,Afrikka
Malawi,Lilongwe,Afrikka
Malediivit,Malé,Aasia
Malesia,Kuala Lumpur,Aasia
Mali,Bamako,Afrikka
Malta,Valletta,Eurooppa
Marokko,Rabat,Afrikka
Marshallinsaaret,Majuro,Oseania
Mauritania,Nouakchott,Afrikka
Mauritius,Port Louis,Afrikka
Meksiko,México,Amerikka
Mikronesia,Palikir,Oseania
Moldova,Chișinău,Eurooppa
Monaco,Monaco,Eurooppa
Mongolia,Ulan Bator,Aasia
Montenegro,Podgorica,Eurooppa
Mosambik,Maputo,Afrikka
Myanmar,Naypyidaw,Aasia
Namibia,Windhoek,Afrikka
Nauru,Yaren,Oseania
Nepal,Kathmandu,Aasia
Nicaragua,Managua,Amerikka
Niger,Niamey,Afrikka
Nigeria,Abuja,Afrikka
Norja,Oslo,Eurooppa
Norsunluurannikko,Yamoussoukro,Afrikka
Oman,Masqat,Aasia
Pakistan,Islamabad,Aasia
Palau,Ngerulmud,Oseania
Panama,Panamá,Amerikka
Papua-Uusi-Guinea,Port Moresby,Oseania
Paraguay,Asunción,Amerikka
Peru,Lima,Amerikka
Pohjois-Makedonia,Skopje,Eurooppa
Portugali,Lissabon,Eurooppa
Puola,Varsova,Eurooppa
Päiväntasaajan Guinea,Malabo,Afrikka
Qatar,Doha,Aasia
Ranska,Pariisi,Eurooppa
Romania,Bukarest,Eurooppa
Ruanda,Kigali,Afrikka
Ruotsi,Tukholma,Eurooppa
Saint Kitts ja Nevis,Basseterre,Amerikka
Saint Lucia,Castries,Amerikka
Saint Vincent ja Grenadiinit,Kingstown,Amerikka
Saksa,Berliini,Eurooppa
Salomonsaaret,Honiara,Oseania
Sambia,Lusaka,Afrikka
Samoa,Apia,Oseania
San Marino,San Marino,Eurooppa
São Tomé ja Príncipe,São Tomé,Afrikka
Saudi-Arabia,Riad,Aasia
Senegal,Dakar,Afrikka
Serbia,Belgrad,Eurooppa
Seychellit,Victoria,Afrikka
Sierra Leone,Freetown,Afrikka
Singapore,Singapore,Aasia
Slovakia,Bratislava,Eurooppa
Slovenia,Ljubljana,Eurooppa
Somalia,Mogadishu,Afrikka
Sri Lanka,Colombo,Aasia
Sudan,Khartum,Afrikka
Suomi,Helsinki,Eurooppa
Suriname,Paramaribo,Amerikka
Swazimaa,Mbabane,Afrikka
Sveitsi,Bern,Eurooppa
Syyria,Damaskos,Aasia
Tadžikistan,Dušanbe,Aasia
Taiwan,Taipei,Aasia
Tansania,Dar es Salaam,Afrikka
Tanska,Kööpenhamina,Eurooppa
Thaimaa,Bangkok,Aasia
Togo,Lomé,Afrikka
Tonga,Nukuʻalofa,Oseania
Trinidad ja Tobago,Port of Spain,Amerikka
Tšad,N'Djamena,Afrikka
Tšekki,Praha,Eurooppa
Tunisia,Tunis,Afrikka
Turkki,Ankara,Eurooppa
Turkmenistan,Ašgabat,Aasia
Tuvalu,Funafuti,Oseania
Uganda,Kampala,Afrikka
Ukraina,Kiova,Eurooppa
Unkari,Budapest,Eurooppa
Uruguay,Montevideo,Amerikka
Uusi-Seelanti,Wellington,Oseania
Uzbekistan,Taškent,Aasia
Valko-Venäjä,Minsk,Eurooppa
Vanuatu,Port Vila,Oseania
Vatikaani,Vatikaani,Eurooppa
Venezuela,Caracas,Amerikka
Venäjä,Moskova,Eurooppa
Vietnam,Hanoi,Aasia
Viro,Tallinna,Eurooppa
Yhdistyneet arabiemiirikunnat,Abu Dhabi,Aasia
Iso-Britannia,Lontoo,Eurooppa
Yhdysvallat,Washington DC,Amerikka
Zimbabwe,Harare,Afrikka
